925;2
902;1
710;2
879;1
733;2
856;4
756;2
779;2
802;2
971;1
825;3
948;2
919;2
908;2
965;2
762;3
816;2
716;2
862;6
865;4
722;2
793;2
750;1
773;2
822;2
799;1
836;2
742;2
730;2
991;1
979;2
942;1
785;3
885;2
985;2
759;2
736;2
805;2
782;2
999;1
922;1
928;1
945;3
951;2
876;3
899;2
753;1
859;3
719;2
968;1
905;2
916;2
959;2
962;2
713;1
813;2
796;1
770;3
819;2
868;1
776;2
931;1
896;2
882;1
833;2
839;2
939;2
982;1
988;2
888;2
739;2
854;4
877;2
808;2
831;3
946;1
994;2
900;2
923;1
860;1
754;2
871;1
708;2
954;2
917;2
768;2
963;1
814;2
714;2
960;1
771;2
748;2
914;2
820;2
891;2
797;2
777;2
883;3
977;1
940;2
934;1
791;2
983;1
711;2
926;2
903;1
757;2
880;2
780;2
828;2
974;2
897;2
874;2
997;1
765;2
717;2
920;2
966;2
857;3
863;9
957;2
811;2
911;1
937;3
817;2
745;1
794;2
774;2
725;2
751;1
800;1
943;1
980;1
894;2
986;1
788;3
712;2
783;2
760;3
806;5
952;3
875;4
852;4
969;2
975;1
998;2
898;1
766;2
906;2
958;2
858;2
795;1
961;2
889;3
938;2
769;2
869;4
752;1
775;2
726;2
789;2
895;2
932;1
989;1
732;1
981;2
949;2
878;1
832;3
855;3
826;2
849;4
972;2
955;1
872;1
918;2
709;5
815;2
809;2
909;3
763;2
866;1
772;2
723;2
915;2
843;4
892;3
749;1
823;2
729;2
743;2
992;1
978;1
941;2
929;1
786;3
792;1
835;2
935;2
886;2
973;2
950;2
758;2
927;1
781;2
904;3
804;3
827;2
850;3
921;1
996;2
873;1
718;2
967;1
956;1
810;2
864;6
764;2
910;2
844;4
867;5
893;2
824;3
944;2
930;1
744;1
881;2
887;2
987;2
838;2
936;2
738;2
787;3
807;2
784;1
853;3
830;2
970;1
976;2
993;1
924;2
947;2
801;2
907;2
755;2
767;2
707;2
953;2
715;4
964;1
761;2
861;2
890;1
747;2
913;2
841;3
727;2
798;2
870;1
884;4
778;2
741;1
790;2
990;1
933;1
984;2
